only thing,[-0.27087293]
school end,[-0.27081891]
s end,[-0.26952933]
start when,[-0.26950453]
social,[-0.26907002]
okay then,[-0.26887078]
years old,[-0.26865368]
start because,[-0.26760714]
movies end,[-0.26725217]
it doesn,[-0.26708874]
show end,[-0.26659894]
alright,[-0.26629663]
judge end,[-0.26607406]
to me,[-0.26607399]
teacher in,[-0.26603532]
hour,[-0.26603168]
lines,[-0.26557066]
clothes,[-0.26518457]
something wrong,[-0.26473934]
matters,[-0.26461375]
at times,[-0.26455481]
list,[-0.26451257]
then that,[-0.26447784]
full,[-0.26422315]
t say,[-0.26405706]
heard everything,[-0.26397926]
stop,[-0.26365188]
know a,[-0.26317594]
more to,[-0.26299844]
party,[-0.2629211]
year,[-0.26245875]
bands,[-0.26243448]
mess,[-0.26241976]
okay end,[-0.26218032]
kinda busy,[-0.26209501]
thanks kinda,[-0.26209501]
but who,[-0.26180626]
as a,[-0.26157971]
i could,[-0.26152809]
my phone,[-0.26144217]
judge10,[-0.26130771]
reason end,[-0.26075928]
tender,[-0.26061246]
why don,[-0.26053609]
a point,[-0.26023093]
listen,[-0.26003385]
trouble,[-0.25979263]
discussing,[-0.25944959]
have your,[-0.2593957]
because end,[-0.2593254]
t matter,[-0.25912259]
wrong,[-0.25908283]
calls,[-0.25905948]
is fun,[-0.25893722]
welcome judge,[-0.25875726]
start again,[-0.25872948]
or girl,[-0.25872102]
a film,[-0.2585167]
calling,[-0.25849633]
start welcome,[-0.25841912]
drink,[-0.2582843]
robots end,[-0.25788946]
y,[-0.25769915]
would i,[-0.25718302]
you later,[-0.25704464]
if you,[-0.25681125]
synthesizer,[-0.25654232]
start everyone,[-0.25652222]
bring,[-0.25652066]
car,[-0.25635031]
you wear,[-0.25620057]
i enjoy,[-0.25598043]
again to,[-0.25567096]
try again,[-0.25567096]
so that,[-0.2556647]
talking,[-0.25558728]
think so,[-0.25550954]
funny,[-0.2550641]
start everything,[-0.25458048]
start umm,[-0.25441952]
umm,[-0.25441952]
were born,[-0.2542325]
ve heard,[-0.25422674]
meet a,[-0.25421817]
turn,[-0.25417911]
h,[-0.25414318]
t believe,[-0.25371053]
t understand,[-0.25368571]
elizabeth,[-0.25307055]
elizabeth end,[-0.25307055]
i spend,[-0.25265567]
dole,[-0.2526001]
i am,[-0.25241764]
now end,[-0.25207471]
hmm end,[-0.2519964]
s because,[-0.25183933]
friends,[-0.25169648]
uh,[-0.25140934]
little one,[-0.25123807]
sleep well,[-0.25123807]
start sleep,[-0.25123807]
well little,[-0.25123807]
you a,[-0.2510571]
start of,[-0.25069913]
you seen,[-0.25050986]
heart,[-0.25008366]
start be,[-0.24963452]
about that,[-0.24962254]
rule,[-0.24945289]
m john,[-0.24926085]
odd end,[-0.24909859]
talking with,[-0.24902682]
thankyou end,[-0.24854395]
ashtanga,[-0.24846366]
say something,[-0.24842468]
t remember,[-0.24816045]
carry,[-0.24793354]
adele,[-0.24745485]
in mind,[-0.24682974]
s wrong,[-0.2466057]
shot,[-0.24653777]
knock knock,[-0.24626147]
alice end,[-0.24596564]
hello is,[-0.24531537]
start that,[-0.245312]
pet,[-0.24521938]
start yes,[-0.24477862]
ok thanks,[-0.24473048]
am talking,[-0.24470965]
winter,[-0.24465803]
start 18,[-0.24449544]
start many,[-0.24417926]
ever visited,[-0.24341541]
and let,[-0.24339884]
return,[-0.24332791]
cleverbot,[-0.24270142]
answering,[-0.2426708]
hands,[-0.24230436]
kan,[-0.24191025]
why are,[-0.24116847]
is an,[-0.2408428]
start earth,[-0.24079907]
want end,[-0.24073539]
i are,[-0.24071472]
narration,[-0.24051471]
are thi,[-0.24037469]
positive end,[-0.24034781]
a bar,[-0.2402403]
understand end,[-0.24023169]
wierd,[-0.24020282]
you ve,[-0.24017421]
with people,[-0.23990321]
colorado end,[-0.23975537]
the president,[-0.23962339]
shall,[-0.23949692]
january,[-0.2392765]
is there,[-0.23888653]
a small,[-0.23865823]
strange,[-0.23864807]
t think,[-0.23841007]
a long,[-0.23815632]
hey end,[-0.23815404]
string,[-0.23811685]
milk,[-0.23805522]
not talk,[-0.2380486]
robot,[-0.23798158]
tastes,[-0.23788398]
i use,[-0.2378064]
best friend,[-0.23747009]
reasoning,[-0.23709606]
am from,[-0.23707287]
stuff end,[-0.2367893]
judge03 end,[-0.23677752]
i dunno,[-0.23664817]
accident,[-0.23661624]
good at,[-0.23620442]
go end,[-0.23619604]
start thaddeus,[-0.23615105]
thaddeus,[-0.23615105]
yoga end,[-0.23605735]
mate end,[-0.23565604]
my best,[-0.23562476]
temperatures,[-0.23509055]
temperatures end,[-0.23509055]
born end,[-0.23446032]
make you,[-0.23422921]
me when,[-0.23375753]
morning,[-0.2336223]
wrong end,[-0.23352844]
bed,[-0.23344461]
plenty end,[-0.23336269]
start plenty,[-0.23336269]
treat,[-0.2333186]
o end,[-0.23321906]
start robots,[-0.2328162]
or what,[-0.23279122]
do know,[-0.23256376]
hello,[-0.23248194]
start now,[-0.23233013]
than enough,[-0.23217163]
yes how,[-0.23205844]
bill,[-0.23194336]
pig,[-0.23188268]
any pets,[-0.23166559]
let s,[-0.23108493]
australia i,[-0.23047469]
more than,[-0.22990558]
judge05 end,[-0.22989968]
trash,[-0.22974126]
exist,[-0.22972793]
you serious,[-0.22967738]
that a,[-0.22967635]
the country,[-0.22950839]
thick,[-0.22914132]
brain,[-0.22907045]
like is,[-0.22901864]
s not,[-0.22896478]
learning,[-0.22893835]
go right,[-0.22877286]
right ahead,[-0.22877286]
sure go,[-0.22877286]
mind,[-0.22873369]
s o,[-0.22827453]
reason,[-0.22826978]
bit boring,[-0.22822885]
sling,[-0.22808379]
music end,[-0.22785714]
stay,[-0.22785666]
judge10 end,[-0.22782785]
start judge10,[-0.22782785]
alan,[-0.22778833]
you want,[-0.22762362]
have lots,[-0.22751498]
wanted,[-0.22730559]
this time,[-0.2272946]
heard that,[-0.22719738]
start y,[-0.22696307]
cool i,[-0.22624802]
deficit end,[-0.22597364]
michael,[-0.2259459]
kind of,[-0.22591686]
very intelligent,[-0.22581624]
start chip,[-0.22570088]
states end,[-0.22559769]
me you,[-0.22546211]
my paw,[-0.2251678]
paw,[-0.2251678]
paw end,[-0.2251678]
shot my,[-0.2251678]
start shot,[-0.2251678]
like mexican,[-0.22498163]
umm end,[-0.22498094]
where do,[-0.22493278]
bluntly,[-0.22457589]
bluntly it,[-0.22457589]
it bluntly,[-0.22457589]
it sucks,[-0.22457589]
sucks,[-0.22457589]
sucks end,[-0.22457589]
well to,[-0.22457589]
planet,[-0.2243318]
know about,[-0.22429484]
like robots,[-0.22427637]
fighting,[-0.22401305]
start cindy,[-0.2239321]
but a,[-0.22369819]
s going,[-0.22369287]
feel,[-0.22361323]
except for,[-0.22359113]
sure if,[-0.22346409]
not sure,[-0.22265404]
of like,[-0.22243094]
i watch,[-0.22188849]
judge are,[-0.22184843]
ago end,[-0.22166943]
maybe end,[-0.22163447]
for today,[-0.22159512]
man is,[-0.22152434]
because i,[-0.22146896]
www,[-0.22144986]
start o,[-0.22113258]
nevermind end,[-0.22109353]
